TWAS	GWAS	Overlapped
ECM1	LOC104974530	
ECPAS	LOC104974542	
ECT2	LOC104974558	
EDAR	LOC104974648	
EDEM1	LOC104974883	
EDN3	LOC104975324	
EEF1B2	LOC104975749	
EFCAB1	LOC104976236	
EFCAB7	LOC107131505	
EFCAB8	LOC107131613	
EFEMP2	LOC107131671	
EFS	LOC107131747	
EGLN2	LOC107131819	
EHBP1	LOC107131820	
EHBP1L1	LOC107131904	
EHD1	LOC107132013	
EHD3	LOC107132046	
EIF1B	LOC107132205	
EIF2B4	LOC107132360	
EIF3CL	LOC107132458	
EIF4A2	LOC107132523	
EIF4A3	LOC107132770	
EIF4E	LOC107132775	
EIF4G3	LOC107132782	
EIF5B	LOC107133022	
EIF6	LOC107133048	
ELF3	LOC107133063	
ELFN2	LOC107133100	
ELMO3	LOC107133325	
ELOF1	LOC112441463	
ELP2	LOC112441562	
ELP3	LOC112441586	
ELP4	LOC112441588	
ELP5	LOC112441597	
EMC2	LOC112441689	
EMC8	LOC112441713	
EMG1	LOC112441794	
EMILIN1	LOC112441799	
EML1	LOC112441805	
EMP3	LOC112441831	
EMSY	LOC112441846	
ENAH	LOC112441871	
ENO3	LOC112441901	
ENOX1	LOC112441912	
ENTPD2	LOC112441989	
ENTPD5	LOC112442020	
ENTPD6	LOC112442101	
ENY2	LOC112442102	
EPB41L1	LOC112442236	
EPB41L2	LOC112442282	
EPCAM	LOC112442318	
EPHA1	LOC112442321	
EPM2A	LOC112442330	
EPOR	LOC112442359	
EPRS	LOC112442377	
EPS8L2	LOC112442399	
ERCC3	LOC112442482	
ERH	LOC112442581	
ERI3	LOC112442594	
ERMAP	LOC112442605	
ERMP1	LOC112442641	
ERO1B	LOC112442648	
ESF1	LOC112442744	
ESPL1	LOC112443018	
ESPNL	LOC112443055	
ESRP1	LOC112443065	
ESRP2	LOC112443158	
ESYT1	LOC112443165	
ESYT2	LOC112443166	
ETFA	LOC112443202	
ETV1	LOC112443212	
EVC2	LOC112443228	
EWSR1	LOC112443360	
EXOC3	LOC112443446	
EXOC3L4	LOC112443464	
