group	chao1	shannon
Bacteria	1461.288462	9.339207
Bacteria	1312.631579	9.294099
Bacteria	1000.977273	8.92908
Bacteria	1454.344828	9.395483
Bacteria	1736.148148	9.667075
Archaea	56	4.671611
Archaea	67	4.891845
Archaea	75	5.155975
Archaea	80	5.039079
Archaea	77	5.065974
Archaea	63	4.586921
Archaea	69	4.918402
Archaea	57	4.141277
Archaea	64	4.818587
Archaea	62	4.761437
Archaea	68	4.669429
Archaea	66	4.712294
Archaea	65	4.893874
Archaea	77	5.171447
Archaea	59	4.554261
Archaea	69	5.000893
Archaea	74	4.773961
Archaea	69	5.05104
Archaea	61	4.660794
Archaea	65	4.867471
Archaea	65	5.043985
Archaea	76	5.175813
Archaea	63	4.957196
Archaea	70	4.820481
Archaea	79	5.046941
Archaea	67	4.916795
Archaea	69	4.643702
Archaea	66	4.700898
Archaea	77	4.908579
Archaea	68	4.885812
Archaea	78.5	5.312336
Archaea	64	4.622644
Archaea	57	4.323103
Archaea	69	4.523152
Archaea	65	4.49901
Archaea	82	4.871434
Archaea	71	4.714596
Archaea	63	4.486293
Archaea	69	4.977268
Archaea	77	4.912231
Archaea	69	4.802837
Archaea	72	4.664538
Archaea	73	4.873355
Archaea	64	4.805079
Archaea	73	5.054689
Archaea	68	4.930242
Archaea	73	5.013593
Archaea	61	4.556605
Archaea	70	4.722717
Archaea	63	4.742683
Archaea	70	4.968474
Archaea	77	4.848265
Archaea	67	4.137086
Archaea	64	4.653059
Archaea	61	4.368647
Archaea	65	4.780143
Archaea	59	4.542858
Archaea	75	4.954141
Archaea	64	4.815101
Archaea	68	4.601685
Archaea	66	4.871719
Archaea	66	4.814031
Archaea	64	4.819113
Archaea	64	4.563351
Archaea	73	4.897681
Archaea	70	4.824635
Archaea	72	4.983061
Archaea	62	4.200471
Archaea	67	4.696387
Archaea	73	4.97406
Archaea	68	4.778291
Archaea	77.5	5.014702
Archaea	61	4.599356
Archaea	66	4.171974
Archaea	64	4.545503
Archaea	75	5.050478
Archaea	59	4.564045
Archaea	68	4.695389
Archaea	67	4.795708
Archaea	64	4.963755
Archaea	78	4.823654
Archaea	76	4.837105
Archaea	77	5.052208
Archaea	73	4.911614
Archaea	68	4.541091
Archaea	70	5.048198
Archaea	76	4.590335
Archaea	64	4.212916
Archaea	72	4.842325
Archaea	71	4.846407
Archaea	66	4.914421
Archaea	70	5.030476
Archaea	76	5.011369
Archaea	67	4.616236
Archaea	60	4.678032
Archaea	63	4.732368
Archaea	66	4.316766
Archaea	70	4.878464
Archaea	61	4.590819
Archaea	65	4.820323
Archaea	76	4.896772
Archaea	67	4.941098
Archaea	70	4.865141
Archaea	74	5.137167
Archaea	71	4.384653
Archaea	67	4.908651
Archaea	71	4.99905
Archaea	58	4.60293
Archaea	59	4.541944
Archaea	50	4.482419
Archaea	70	4.77161
Archaea	58	4.321515
Archaea	69	4.860678
Archaea	60	4.738418
Archaea	54	4.330648
Archaea	63	4.374541
Archaea	69	4.704784
Archaea	65	4.626894
Archaea	59	4.807822
Archaea	65	4.680007
Archaea	62	4.948358
Archaea	64	4.788592
Archaea	65	4.713242
Archaea	66	4.621167
Archaea	75	4.918582
Archaea	66	4.734375
Archaea	62	4.364508
Archaea	57	4.593316
Archaea	59	4.637257
Archaea	58	4.546688
Archaea	63	4.668257
Archaea	64	4.747579
Archaea	57	4.191392
Archaea	59	4.640848
Archaea	71	4.938556
Archaea	57	4.838473
Archaea	68	5.135586
Archaea	64	4.878631
Archaea	62	4.940322
Archaea	69	4.737061
Archaea	67	4.68233
Archaea	61	4.752174
Archaea	73	4.861225
Archaea	67	4.785369
Archaea	71	4.932566
Archaea	69	5.05341
Archaea	72	5.064622
Archaea	71	4.923348
Archaea	73	5.074045
Archaea	68	4.889904
Archaea	77	4.915512
Archaea	66	5.090083
Archaea	62	4.47437
Archaea	86	5.130454
Archaea	68	4.920017
Archaea	70	4.964478
Archaea	62	4.782242
Archaea	68	4.623111
Archaea	76	4.968441
Archaea	73	4.857829
Archaea	73	5.050253
Archaea	62	4.665832
Archaea	65	4.406053
Archaea	76	4.765142
Archaea	64	4.43911
Archaea	70	4.737508
Archaea	49	4.183972
Archaea	67	4.548326
Archaea	65	4.893989
Archaea	73	5.15911
Archaea	75	4.963049
Archaea	68	4.793686
Archaea	63	4.97948
Archaea	67	4.82441
Archaea	80	5.136497
Archaea	63	3.871257
Archaea	71	4.668673
Archaea	78	4.778471
Archaea	64	4.875576
Archaea	60	4.676121
Archaea	66	4.953419
Archaea	71	5.014556
Archaea	63	4.590229
Archaea	58	4.097381
Archaea	63	4.496845
Archaea	65	5.010301
Archaea	68	4.851793
Archaea	70	5.179278
Archaea	76	5.140608
Archaea	73	5.146362
Archaea	71	4.855888
Archaea	56	3.049559
Archaea	61	4.763395
Archaea	59	4.697597
Archaea	64	4.521989
Archaea	75	5.130411
Archaea	66	4.943128
Archaea	62	4.704384
Archaea	68	4.909131
Archaea	67	4.890673
Archaea	53	3.97975
Archaea	65	4.524043
Archaea	72	4.815809
Archaea	64	4.92145
Archaea	74	4.874587
Archaea	63	4.827581
Archaea	71	4.886494
Archaea	61	4.913346
Archaea	61	4.838762
Archaea	64	4.705252
Archaea	72	4.978295
Archaea	68	4.917427
Archaea	55	4.689283
Archaea	63	4.473926
Archaea	61	4.759065
Archaea	66	4.686839
Archaea	77	4.951922
Archaea	74	4.591453
Archaea	77	4.781061
Archaea	59	4.444967
Archaea	57	4.589357
Archaea	70	4.836502
Archaea	69	4.639479
Archaea	61	4.862672
Archaea	61	4.927
Archaea	73	4.874259
Archaea	49	4.574857
Archaea	50	4.320286
Archaea	46	3.665299
Archaea	48	3.775171
Archaea	54	3.087107
Archaea	52	3.948608
Archaea	46	4.123537
Archaea	51	4.320361
Archaea	48	3.808881
Archaea	55	4.583503
Archaea	52	4.110619
Archaea	60	4.622005
Archaea	43	3.849421
Archaea	65	4.359021
Archaea	51	4.571553
Archaea	64	5.048041
Archaea	61	4.763085
Archaea	63	4.905201
Archaea	63	4.701987
Archaea	65	4.934311
Archaea	55	4.43938
Archaea	73	5.023622
Archaea	56	4.824826
Archaea	53	3.955795
Archaea	66	5.06394
Archaea	60	4.748212
Archaea	52	4.371718
Archaea	64	5.067174
Archaea	56	4.553247
Archaea	56	4.482445
Archaea	76	5.034897
Archaea	62	4.519622
Archaea	77	4.992905
Archaea	74	5.130968
Archaea	61	4.702693
Archaea	51	4.755223
Archaea	56	4.714654
Archaea	56	4.798174
Archaea	57	4.541069
Archaea	77	4.963894
Archaea	68	5.17112
Archaea	64	4.826886
Archaea	67	4.77594
Archaea	57	4.567999
Archaea	64	4.686702
Archaea	70	4.31081
Archaea	78	5.13418
Archaea	58	4.852086
Archaea	57	3.974115
Archaea	63	4.841274
Archaea	49	4.051754
Archaea	82	5.317158
Archaea	68	4.647237
Archaea	53	4.36537
Archaea	67	4.827631
Archaea	58	4.676596
Archaea	69	4.899582
Archaea	75	4.998919
Archaea	58	4.581496
Archaea	75	5.160408
Archaea	65	4.615974
Archaea	65	4.989404
Archaea	67	4.890087
Archaea	72	4.856563
Archaea	62	4.711457
Archaea	72	5.04615
Archaea	70	5.064101
Archaea	60	4.770576
Archaea	65	4.800551
Archaea	64	4.96712
Archaea	54	4.244795
Archaea	73	5.057659
Archaea	74	4.975543
Archaea	68	5.016777
Archaea	61	4.664951
Archaea	63	4.981279
Archaea	51	4.669777
Archaea	57	4.76282
Archaea	72	5.112271
Archaea	61	4.677592
Archaea	54	3.672527
Archaea	64	4.877391
Archaea	61	4.821364
Archaea	72	4.814432
Archaea	134	5.89765
Archaea	56	3.785782
Archaea	59	4.615208
Archaea	63	4.583415
Archaea	55	4.012467
Archaea	52	3.545577
Archaea	70	4.772215
Archaea	69	4.639022
Archaea	72	4.720239
Archaea	61	4.750303
Archaea	68	4.863282
Archaea	67	4.613794
Archaea	65	4.785391
Archaea	52	4.498373
Archaea	69	5.057592
Archaea	63	4.7528
Archaea	68	4.38271
Archaea	64	4.55158
Archaea	68	5.135148
Archaea	59	4.914216
Archaea	72	4.979097
Archaea	67	4.884022
Archaea	52	4.561212
Archaea	60	4.67758
Archaea	71	4.573889
Archaea	60	4.883433
Archaea	62	4.81649
Archaea	61	4.756065
Archaea	66	4.688174
Archaea	54	3.909598
Archaea	65	4.75984
Archaea	74	5.167244
Archaea	52	4.787149
Archaea	56	4.546006
Archaea	52	4.728617
Archaea	69	4.725937
Archaea	65	4.431497
